res1=0.30077 ; res2=0.723416
res1=1.14056 ; res2=-0.689824
res1=1.14371 ; res2=0.810422
res1=1.14725 ; res2=0.765914
res1=-0.340608 ; res2=0.79314
res1=1.01545 ; res2=0.559088
res1=0.989125 ; res2=0.337099
res1=0.891087 ; res2=0.409429
res1=0.343736 ; res2=0.135121
res1=0.0727985 ; res2=-0.19836
res1=0.805127 ; res2=0.558569
res1=0.25076 ; res2=0.13716
res1=0.0618836 ; res2=0.0887121
res1=0.975054 ; res2=0.770855
res1=0.886646 ; res2=0.65683
res1=1.1451 ; res2=0.67692
res1=nan ; res2=nan
res1=0.958589 ; res2=0.566771
res1=0.00803844 ; res2=-0.271751
res1=0.0964452 ; res2=-0.0146073
res1=0.796822 ; res2=0.413976
res1=0.70832 ; res2=0.0167132
res1=0.861838 ; res2=0.532325
res1=0.228677 ; res2=-0.170508
res1=0.172998 ; res2=0.837587
res1=0.390751 ; res2=-0.0663171
res1=0.526509 ; res2=0.0945465
res1=0.843989 ; res2=0.411952
res1=0.597359 ; res2=0.0580393
res1=0.638711 ; res2=0.198063
res1=0.346557 ; res2=0.113777
res1=0.927713 ; res2=0.018819
res1=0.318857 ; res2=-0.222713
res1=0.768694 ; res2=-0.121582
res1=0.621703 ; res2=0.294625
res1=0.365818 ; res2=0.254267
res1=0.420573 ; res2=0.287952
res1=0.984722 ; res2=0.586087
res1=1.02283 ; res2=0.615942
res1=0.291187 ; res2=-0.27062
res1=0.739906 ; res2=0.377137
res1=0.26777 ; res2=0.434591
res1=0.447542 ; res2=0.284211
res1=0.749889 ; res2=0.708186
res1=0.988308 ; res2=0.452053
res1=0.568815 ; res2=0.513611
res1=0.939306 ; res2=0.611957
res1=0.425351 ; res2=0.575142
res1=0.54496 ; res2=0.0686966
res1=0.864659 ; res2=0.346106
res1=0.846527 ; res2=0.810458
res1=0.933612 ; res2=0.466438
res1=0.897342 ; res2=-0.0634722
res1=0.67811 ; res2=0.824511
res1=0.328495 ; res2=0.244138
res1=0.725471 ; res2=0.0327984
res1=0.632164 ; res2=-0.189335
res1=0.587187 ; res2=-0.242698
res1=1.00119 ; res2=0.643655
res1=0.434074 ; res2=-0.077958
res1=0.63114 ; res2=0.0543738
res1=0.742461 ; res2=0.323415
res1=0.720024 ; res2=0.2175
res1=0.706783 ; res2=0.00966046
res1=0.418371 ; res2=0.783532
res1=0.050045 ; res2=-0.376961
res1=0.517943 ; res2=-0.340633
res1=0.477906 ; res2=-0.0117094
res1=0.800309 ; res2=0.208491
res1=0.179845 ; res2=0.230797
res1=0.41927 ; res2=-0.0138614
res1=0.867292 ; res2=0.532644
res1=0.550199 ; res2=-0.0423677
res1=0.747071 ; res2=-0.187429
res1=0.0784799 ; res2=-0.135036
res1=0.741759 ; res2=0.274765
res1=0.522782 ; res2=-0.121403
res1=0.587395 ; res2=0.0953709
res1=0.483743 ; res2=0.149788
res1=0.866245 ; res2=0.380805
res1=0.933292 ; res2=0.497673
res1=0.956118 ; res2=0.376362
res1=-0.011411 ; res2=-0.345686
res1=0.70808 ; res2=0.938531
res1=0.475757 ; res2=0.860757
res1=0.516266 ; res2=0.419162
res1=0.678053 ; res2=0.172617
res1=0.770471 ; res2=-0.0856152
res1=0.899498 ; res2=0.393101
res1=0.814463 ; res2=0.417493
res1=0.902399 ; res2=0.433222
res1=0.736858 ; res2=0.332304
res1=0.456301 ; res2=0.282877
res1=0.836319 ; res2=0.343089
res1=0.314963 ; res2=0.223142
res1=0.684216 ; res2=0.935484
res1=0.607147 ; res2=0.435872
res1=0.393692 ; res2=-0.334637
res1=0.411379 ; res2=0.368127
res1=0.556657 ; res2=0.257616
res1=0.361377 ; res2=0.527406
res1=0.83614 ; res2=0.144697
res1=0.96542 ; res2=0.237566
res1=0.975152 ; res2=0.533311
res1=1.01332 ; res2=0.733762
res1=0.882307 ; res2=0.6727
res1=0.859148 ; res2=0.0124417
res1=0.99537 ; res2=0.747693
res1=0.820773 ; res2=0.312131
res1=0.798686 ; res2=0.651158
res1=0.936026 ; res2=0.60943
res1=1.0094 ; res2=0.659394
res1=0.415211 ; res2=0.943397
res1=0.699929 ; res2=0.261851
res1=0.991648 ; res2=0.512129
res1=0.981239 ; res2=0.476
res1=1.02562 ; res2=0.155067
res1=1.01351 ; res2=0.504124
res1=0.966936 ; res2=0.73133
res1=-0.279279 ; res2=-0.653253
res1=0.658993 ; res2=0.147328
res1=0.122904 ; res2=-0.287622
res1=0.518363 ; res2=0.0663057
res1=0.8912 ; res2=0.497486
res1=0.944605 ; res2=0.458655
res1=0.40549 ; res2=0.749339
res1=0.842433 ; res2=0.619406
res1=0.84591 ; res2=0.414822
res1=0.979901 ; res2=0.674004
res1=0.496728 ; res2=-0.0178686
res1=0.386208 ; res2=-0.116137
res1=0.171433 ; res2=0.303598
res1=0.588767 ; res2=0.252225
res1=0.695071 ; res2=0.176254
res1=0.876892 ; res2=-0.044579
res1=0.792113 ; res2=-0.306447
res1=0.266907 ; res2=0.0885741
res1=0.90451 ; res2=0.881703
res1=0.974832 ; res2=0.484329
res1=0.463671 ; res2=0.525619
res1=0.231727 ; res2=-0.200133
res1=0.719276 ; res2=0.187634
res1=0.213998 ; res2=0.0372146
res1=0.423251 ; res2=0.904944
res1=0.425326 ; res2=-0.370294
res1=0.76002 ; res2=0.337309
res1=0.802907 ; res2=0.305274
res1=0.543139 ; res2=-0.0944182
res1=0.591053 ; res2=0.933758
res1=0.622818 ; res2=-0.132922
res1=0.393274 ; res2=0.997858
res1=0.565234 ; res2=-0.0219181
res1=0.455083 ; res2=-0.14603
res1=0.456764 ; res2=-0.0218977
res1=0.732713 ; res2=-0.235077
res1=0.669734 ; res2=0.170633
res1=0.37633 ; res2=0.519956
res1=0.822774 ; res2=0.432121
res1=0.855231 ; res2=0.782608
res1=0.0407546 ; res2=-0.0471667
res1=0.585387 ; res2=-0.00247187
res1=0.146751 ; res2=-0.229265
res1=0.836455 ; res2=0.776578
res1=0.530427 ; res2=0.211361
res1=0.557564 ; res2=0.850793
res1=0.336945 ; res2=-0.22097
res1=0.559155 ; res2=0.19195
res1=0.882397 ; res2=0.0392087
res1=0.879406 ; res2=0.426694
res1=0.970684 ; res2=0.840678
res1=0.984208 ; res2=0.606152
res1=0.990955 ; res2=0.612632
res1=0.892045 ; res2=0.369661
res1=0.650171 ; res2=-0.00968627
res1=0.820626 ; res2=-0.287977
res1=0.390004 ; res2=0.106231
res1=0.904005 ; res2=0.769739
res1=1.00466 ; res2=0.644196
res1=0.511651 ; res2=0.1179
res1=1.04572 ; res2=-0.657245
res1=1.01861 ; res2=0.670468
res1=1.03665 ; res2=0.722217
res1=0.232874 ; res2=0.107477
res1=0.241515 ; res2=0.175642
res1=0.597997 ; res2=0.234266
res1=0.929701 ; res2=0.588494
res1=0.93803 ; res2=0.198772
res1=1.06736 ; res2=0.571323
res1=0.563106 ; res2=0.37746
res1=0.421524 ; res2=0.509629
res1=0.563962 ; res2=0.342795
res1=0.326142 ; res2=0.672781
res1=-0.268239 ; res2=-0.687069
res1=0.351169 ; res2=-0.625614
res1=0.383049 ; res2=0.0291533
res1=0.793334 ; res2=0.375884
res1=0.72697 ; res2=0.375751
res1=0.927789 ; res2=0.523012
res1=0.505578 ; res2=0.302416
